County,State,"Black or African American alone, percent, 2013","Hispanic or Latino, percent, 2013","White alone, not Hispanic or Latino, percent, 2013","Two or More Races, percent, 2013",Diversity-Index
Bernalillo County, NM,3.4,48.8,40.6,2.9,0.591041
GEORGIA,,31.4,9.2,54.8,1.9,0.59088
Brazos County, TX,11.3,24.5,57.7,1.8,0.590878
Yuba County, CA,3.9,26.9,57.1,5.9,0.590487
Leake County, MS,41.7,4.3,47.9,0.9,0.590242
Henry County, GA,39.6,6.3,49.8,2.1,0.589671
Atkinson County, GA,17.9,24.6,56.4,1.9,0.588653
Wayne County, MI,39.6,5.6,50.0,2.3,0.588653
Somerset County, NJ,9.8,13.9,59.8,1.9,0.587819
Loudoun County, VA,7.7,13.1,60.1,3.5,0.587233
Dakota County, NE,4.4,36.5,52.4,1.5,0.587216
Scott County, MS,38.1,10.7,50.6,1.2,0.58712
Peach County, GA,45.0,7.4,45.3,1.7,0.586408
Wayne County, NC,32.0,10.7,54.7,2.2,0.586224
Camp County, TX,16.9,23.0,57.6,2.2,0.58605
Mahnomen County, MN,0.3,2.3,48.5,9.3,0.585015
Palm Beach County, FL,18.5,20.3,58.2,1.6,0.584873
Galveston County, TX,13.7,23.5,58.3,1.9,0.584602
Hampton city, VA,49.7,5.1,40.5,3.6,0.584464
Hempstead County, AR,29.7,12.5,55.8,1.8,0.584416
Moore County, TX,2.7,52.9,35.9,1.2,0.584092
Walker County, TX,22.8,17.5,57.7,1.4,0.58408
Colquitt County, GA,23.5,17.6,57.4,1.2,0.583928
Santa Barbara County, CA,2.4,44.1,46.5,3.5,0.583869
DeSoto County, FL,13.3,30.2,55.4,1.2,0.583858
Napa County, CA,2.3,33.4,54.5,3.1,0.583815
Chatham County, GA,40.2,5.9,50.0,2.1,0.583735
Davidson County, TN,28.1,9.9,57.1,2.3,0.583618
Hardee County, FL,7.5,42.9,47.6,1.4,0.583248
Richmond city, VA,50.1,6.4,40.1,2.2,0.583002
Camden County, NJ,21.0,15.4,58.8,2.2,0.582783
Lee County, NC,20.0,19.9,58.1,1.9,0.582159
Warren County, NC,51.7,4.0,38.2,1.6,0.581779
Bergen County, NJ,6.7,17.9,59.7,1.9,0.581402
McLennan County, TX,15.0,24.8,57.8,1.8,0.58121
Bradley County, AR,27.4,14.4,56.8,1.5,0.580794
Fairfax city, VA,5.5,16.6,60.3,3.2,0.580696
Curry County, NM,6.9,39.8,50.5,2.8,0.580366
Guadalupe County, TX,7.7,36.6,52.8,2.4,0.580362
Richland County, SC,46.8,5.0,44.4,2.0,0.580247
ARIZONA,,4.6,30.3,56.7,2.6,0.580068
St. Louis city, MO,47.9,3.7,43.5,2.3,0.578466
Collin County, TX,9.4,15.0,61.2,2.4,0.578365
Robertson County, TX,21.3,19.2,58.3,1.5,0.577508
Caddo County, OK,3.0,11.1,58.4,6.1,0.577476
Hopewell city, VA,39.1,6.8,51.4,3.0,0.577249
Neshoba County, MS,21.2,1.9,59.2,1.5,0.577085
Pima County, AZ,4.0,35.7,53.9,2.8,0.576978
Tyrrell County, NC,36.6,6.8,53.3,1.5,0.576528
Merced County, CA,4.2,56.8,30.2,3.0,0.576306
Crowley County, CO,9.2,29.6,57.1,1.8,0.57623
Karnes County, TX,9.3,51.2,39.1,0.7,0.576124
Coryell County, TX,17.2,17.2,60.2,4.1,0.576055
Marlboro County, SC,51.2,3.1,39.8,1.7,0.575977
Midland County, TX,6.8,41.1,50.0,1.4,0.575881
Hamilton County, FL,33.9,9.3,54.8,1.8,0.575657
Calhoun County, TX,3.0,47.6,44.1,1.1,0.575457
Navarro County, TX,14.0,25.2,58.4,1.6,0.575335
Victoria County, TX,6.8,44.9,46.7,1.4,0.575256
East Baton Rouge Parish, LA,46.0,3.9,45.9,1.3,0.574996
Bladen County, NC,34.7,7.4,54.7,1.5,0.573888
Forsyth County, NC,27.1,12.4,58.0,2.1,0.573836
Tift County, GA,30.4,10.9,56.7,1.3,0.573803
Caldwell County, TX,7.1,48.9,42.6,1.6,0.57378
Swisher County, TX,7.7,42.1,49.3,1.3,0.57337
ALASKA,,3.9,6.6,62.5,7.1,0.57334
Gregg County, TX,20.3,17.5,59.6,1.8,0.572375
Shelby County, TN,53.1,5.9,37.6,1.4,0.572351
Adams County, CO,3.5,38.6,52.4,2.9,0.572274
Pulaski County, AR,35.7,5.9,54.4,2.0,0.572213
Marion County, IN,27.6,9.7,58.4,2.6,0.572081
Northampton County, VA,35.8,8.2,54.1,1.7,0.57207
Gadsden County, FL,55.4,10.3,33.2,1.1,0.572044
Fredericksburg city, VA,24.1,11.1,59.6,3.7,0.571987
Maricopa County, AZ,5.7,30.0,57.6,2.7,0.571908
Nash County, NC,39.0,6.6,52.1,1.8,0.571598
