County,State,"Black or African American alone, percent, 2013","Hispanic or Latino, percent, 2013","White alone, not Hispanic or Latino, percent, 2013","Two or More Races, percent, 2013",Diversity-Index
Natchitoches Parish,LA,41.4,2.1,53.4,2.0,0.542471
Marion County,GA,32.0,6.6,59.2,1.6,0.542337
Ketchikan Gateway Borough,AK,0.9,4.9,65.0,9.1,0.541652
Chickasaw County,MS,43.5,3.9,51.8,1.0,0.540811
Marshall County,MS,47.4,3.4,48.3,0.9,0.540785
Martin County,NC,43.2,3.5,52.1,1.0,0.540574
Hays County,TX,4.0,36.7,56.8,2.0,0.540343
Madison County,MS,38.5,2.9,55.7,0.8,0.540075
Ector County,TX,4.8,56.4,37.3,1.3,0.540002
Accomack County,VA,28.0,9.0,61.1,1.5,0.539878
Florence County,SC,42.0,2.4,53.2,1.2,0.539644
Houston County,TX,26.1,10.9,61.7,1.1,0.539116
Baldwin County,GA,41.7,2.1,53.5,1.1,0.539025
Hampton County,SC,53.7,3.8,41.4,1.1,0.538618
Webster County,GA,41.9,3.9,53.3,1.4,0.538615
Barnwell County,SC,44.2,2.3,51.5,1.5,0.538596
Orleans Parish,LA,60.1,5.5,31.0,1.5,0.538532
Crosby County,TX,4.4,53.8,41.2,1.6,0.538474
Nottoway County,VA,39.4,4.1,55.2,1.4,0.53813
Turner County,GA,39.7,4.2,55.0,0.8,0.537973
Medina County,TX,2.9,50.6,45.3,1.1,0.53763
Hyde County,NC,30.0,8.0,60.5,1.1,0.537389
Columbus County,NC,30.5,4.7,60.5,1.6,0.537243
Clarendon County,SC,48.9,3.0,47.2,0.9,0.537069
Roanoke city,VA,28.8,5.8,61.3,2.7,0.536736
Calhoun County,SC,42.2,3.2,53.3,1.1,0.536629
Brooks County,GA,35.0,5.6,58.1,1.2,0.536623
Yazoo County,MS,57.2,5.4,36.5,0.9,0.53656
Live Oak County,TX,4.8,36.9,57.0,0.9,0.536361
Pike County,AL,36.8,2.3,57.2,1.5,0.536147
Mobile County,AL,35.3,2.6,58.2,1.5,0.535304
Dallam County,TX,1.9,42.5,53.2,1.9,0.535203
Warren County,MS,47.9,2.0,48.5,0.9,0.534763
Shelby County,TX,17.6,17.6,63.5,1.2,0.534549
Newberry County,SC,31.2,7.4,60.2,1.3,0.534485
Madison County,TN,37.3,3.5,57.0,1.4,0.534441
Surry County,VA,44.7,1.7,51.5,1.8,0.534312
Troup County,GA,34.9,3.6,58.5,1.4,0.534138
Cochran County,TX,4.8,56.3,38.2,1.0,0.534065
Seminole County,FL,12.0,18.6,64.4,2.4,0.533994
Juneau City and Borough,AK,1.5,6.2,66.0,9.4,0.533985
Montgomery County,NC,19.0,15.0,63.8,1.3,0.533881
Lynn County,TX,2.5,47.0,49.4,1.6,0.53385
Upton County,TX,2.6,51.6,44.5,1.6,0.533817
Wheeler County,GA,38.3,5.0,56.3,0.9,0.533755
Hale County,TX,5.9,58.0,35.5,1.2,0.533668
Iberia Parish,LA,32.3,3.6,60.0,1.4,0.533312
Jackson County,TX,7.5,31.0,60.4,1.4,0.533163
Jefferson County,GA,54.1,3.2,41.6,0.8,0.533134
Oktibbeha County,MS,36.9,1.6,57.4,1.1,0.53302
Copiah County,MS,51.1,2.8,45.3,0.9,0.532785
Early County,GA,49.5,2.0,47.1,0.8,0.53262
Franklin city,VA,56.4,2.2,38.5,2.3,0.532569
Colleton County,SC,38.6,2.9,56.4,1.5,0.531762
Iberville Parish,LA,48.7,2.4,48.0,0.8,0.531761
Chesterfield County,VA,23.2,7.7,63.8,2.5,0.531245
Nolan County,TX,5.3,35.3,58.4,1.4,0.531194
McDuffie County,GA,40.4,2.7,55.2,1.4,0.531113
Hughes County,OK,5.7,4.4,65.1,7.3,0.53108
Brewster County,TX,1.5,43.5,52.8,1.9,0.531015
Monroe County,AL,41.3,1.1,54.6,1.6,0.530753
Forrest County,MS,36.9,3.4,57.6,1.3,0.530621
Hall County,GA,8.1,27.2,62.3,1.4,0.530604
Goliad County,TX,5.5,35.4,58.4,1.2,0.530362
Marion County,SC,56.0,2.9,39.4,1.2,0.530066
Lowndes County,MS,43.8,1.8,52.7,1.1,0.529928
Andrews County,TX,2.1,53.4,42.9,1.4,0.529877
Lauderdale County,MS,42.9,2.0,53.5,0.9,0.529162
Martin County,TX,2.1,44.7,52.0,1.1,0.529058
Harrison County,TX,22.4,12.1,63.7,1.5,0.52897
Jackson County,OK,8.0,22.2,64.3,3.8,0.528564
Marengo County,AL,51.1,2.2,45.8,0.8,0.52855
Candler County,GA,24.6,10.7,63.2,1.2,0.52841
Richmond County,VA,30.5,6.2,61.2,1.7,0.528257
Claiborne Parish,LA,50.7,1.4,46.3,1.0,0.528236
Washington County,GA,52.6,2.2,44.1,1.0,0.528219
Greenwood County,SC,32.0,5.7,60.5,1.2,0.528056
Sequoyah County,OK,1.9,3.7,64.6,9.3,0.527747
Winston County,MS,45.7,1.1,51.3,0.8,0.527666
Thomas County,GA,36.9,3.4,57.9,1.3,0.527184
Collingsworth County,TX,6.0,32.0,60.5,1.7,0.527085
Knox County,TX,6.0,32.8,60.1,2.1,0.527048
Jefferson County,FL,35.6,4.1,58.7,1.5,0.526757
Craig County,OK,3.2,3.0,65.1,9.0,0.526534
Edgecombe County,NC,57.7,4.0,37.3,1.1,0.52618
Prince George's County,MD,65.1,16.2,14.5,2.6,0.526125
Panola County,MS,49.6,1.6,47.7,1.0,0.526081
Escambia County,AL,32.2,2.1,60.7,1.6,0.525935
East Feliciana Parish,LA,44.4,1.3,52.6,1.3,0.525809
San Patricio County,TX,2.1,55.4,40.8,1.4,0.52578
Conecuh County,AL,46.0,1.7,51.2,1.3,0.525778
Spalding County,GA,33.3,4.2,60.1,1.7,0.52574
Floyd County,TX,3.9,55.7,40.3,0.6,0.525607
Walthall County,MS,43.7,1.7,53.2,1.2,0.525554
Kent County,DE,25.1,6.6,63.7,3.3,0.525251
St. James Parish,LA,49.4,1.7,48.0,0.7,0.525213
Taliaferro County,GA,58.6,3.3,36.1,1.6,0.52487
Hertford County,NC,59.7,3.7,34.2,1.3,0.524716
St. Bernard Parish,LA,21.5,9.7,64.7,2.3,0.524634
De Soto Parish,LA,38.1,2.6,57.4,1.2,0.524418
Macon County,GA,59.9,4.0,33.9,0.9,0.524324
Wilcox County,GA,35.7,4.1,58.9,1.2,0.523765
McCormick County,SC,49.2,1.2,48.4,1.0,0.523422
Butler County,AL,43.6,1.2,53.5,0.7,0.52337
Bienville Parish,LA,42.2,1.7,54.6,1.4,0.523297
Morehouse Parish,LA,47.8,1.3,49.8,1.0,0.523222
Schleicher County,TX,1.8,50.9,46.6,1.7,0.523098
Rusk County,TX,17.6,15.7,64.9,1.6,0.522781
Pike County,MS,52.4,1.3,45.0,0.8,0.522646
Emanuel County,GA,34.1,4.7,59.9,1.0,0.522544
Lee County,TX,11.2,23.2,64.1,1.4,0.522405
Screven County,GA,42.2,1.6,54.7,1.2,0.522266
Wilkinson County,GA,38.1,2.5,57.6,1.5,0.522181
Ochiltree County,TX,0.9,51.2,46.4,1.2,0.522061
Whitfield County,GA,4.3,32.9,60.6,1.5,0.522024
Quitman County,GA,47.4,1.5,50.3,0.8,0.522013
St. Landry Parish,LA,41.3,1.8,55.4,1.2,0.522006
Darlington County,SC,41.3,1.9,55.4,1.1,0.521992
St. Helena Parish,LA,53.0,1.4,44.4,1.1,0.52163
Seminole County,OK,4.6,4.6,65.8,7.5,0.521448
Lake and Peninsula Borough,AK,0.8,3.3,23.4,9.6,0.521401
Clarke County,AL,44.2,1.3,53.2,0.8,0.521338
Washington County,TX,18.0,14.9,65.1,1.1,0.521163
Okeechobee County,FL,8.9,24.7,64.0,1.3,0.521031
Hardeman County,TN,41.7,1.6,55.2,1.0,0.520993
West Feliciana Parish,LA,45.9,1.4,51.8,0.7,0.520745
Pickens County,AL,40.9,2.2,55.8,1.0,0.520742
Concho County,TX,2.5,54.5,42.6,1.4,0.520625
Twiggs County,GA,41.6,1.8,55.3,1.3,0.520622
Meriwether County,GA,39.1,2.0,57.1,1.1,0.520496
Tensas Parish,LA,54.8,1.8,42.3,1.1,0.520317
Berkeley County,SC,25.0,6.1,64.2,2.6,0.520264
West Baton Rouge Parish,LA,37.9,2.7,57.9,1.2,0.520215
Stafford County,VA,17.8,10.5,66.0,3.7,0.519308
Attala County,MS,42.2,1.9,55.0,0.6,0.519001
Montgomery County,TN,19.4,9.2,65.8,4.1,0.518661
Austin County,TX,9.6,25.5,63.8,1.4,0.51843
Brunswick County,VA,56.1,1.9,40.8,1.1,0.518314
Ellis County,TX,9.4,24.6,64.2,1.6,0.518114
Lunenburg County,VA,34.1,4.1,60.3,1.7,0.518111
Montgomery County,MS,45.4,1.2,52.5,0.6,0.518066
Lynchburg city,VA,28.6,3.3,63.1,2.1,0.517655
Newton County,MS,30.3,1.6,62.3,0.8,0.517325
Ouachita Parish,LA,37.1,2.1,58.7,1.3,0.517071
Chambers County,AL,39.1,2.0,57.4,1.1,0.517068
Milam County,TX,10.1,24.8,64.1,1.2,0.517065
Winkler County,TX,2.9,57.3,39.2,1.0,0.51668
Laurens County,GA,36.2,2.4,59.3,1.1,0.516501
Franklin County,NC,26.9,7.9,63.6,1.7,0.516495
Mecklenburg County,VA,35.2,2.6,59.9,1.6,0.516253
Baltimore city,MD,63.3,4.6,28.3,2.0,0.516013
Westmoreland County,VA,27.5,6.1,63.6,2.3,0.5155
Jasper County,MS,52.2,1.1,46.1,0.6,0.514829
Grenada County,MS,42.2,1.2,55.4,0.9,0.514755
Hansford County,TX,0.9,45.5,52.7,0.9,0.514744
Sussex County,VA,57.8,2.3,38.8,1.0,0.514711
Delaware County,OK,0.4,3.2,65.1,7.8,0.514641
Charleston County,SC,29.0,5.2,63.1,1.5,0.514537
Nueces County,TX,4.4,62.0,31.4,1.4,0.514446
Kinney County,TX,2.0,57.0,40.0,1.4,0.514351
Rapides Parish,LA,32.0,2.8,61.8,1.7,0.514326
Jones County,NC,31.5,4.2,62.0,1.7,0.514233
Chesterfield County,SC,32.4,3.8,61.6,1.6,0.513794
Chester County,SC,37.1,1.7,59.0,1.5,0.513695
Talbot County,GA,57.3,1.8,39.7,1.3,0.51354
Fayette County,GA,21.4,6.9,65.9,2.0,0.512896
Kemper County,MS,60.5,0.7,34.6,0.9,0.512829
Charlottesville city,VA,19.3,4.9,66.5,3.1,0.512658
Sherman County,TX,0.9,42.3,55.5,1.0,0.512615
Crane County,TX,3.6,60.1,35.3,1.1,0.512567
Wilson County,TX,1.8,38.8,58.0,1.4,0.51243
Taylor County,GA,38.2,2.3,58.4,0.8,0.512362
Glynn County,GA,26.6,6.5,64.2,1.7,0.512312
Ottawa County,OK,1.1,4.9,66.5,7.7,0.51229
Echols County,GA,5.3,29.0,63.2,1.8,0.512089
Chowan County,NC,34.4,3.2,60.7,1.2,0.511982
Northampton County,NC,58.4,2.0,38.4,1.1,0.510927
Sterling County,TX,1.4,37.0,59.3,1.9,0.510528
Concordia Parish,LA,40.4,1.2,57.1,0.8,0.51051
Escambia County,FL,22.8,5.2,65.8,3.0,0.510463
Edwards County,TX,0.8,54.6,43.7,0.5,0.510336
Fairfield County,SC,58.8,1.9,37.9,1.2,0.510092
Calhoun County,GA,61.4,4.4,33.3,1.0,0.51002
Miami-Dade County,FL,19.0,65.6,15.2,1.2,0.510018
Lauderdale County,TN,35.1,2.3,60.5,1.3,0.509963
Swain County,NC,1.1,4.4,63.9,4.4,0.509809
Alamance County,NC,19.3,11.8,66.2,1.9,0.5098
Charlton County,GA,32.3,3.5,62.0,1.5,0.50976
Caroline County,VA,28.4,4.0,63.8,3.0,0.509671
Gaines County,TX,2.1,38.7,58.3,1.3,0.509607
Mayes County,OK,0.6,3.2,65.9,9.3,0.508904
Caswell County,NC,33.4,3.3,61.5,1.5,0.50886
Dickens County,TX,5.7,29.6,63.2,1.7,0.508792
Harrison County,MS,23.7,5.4,65.7,2.5,0.507704
Red River Parish,LA,39.4,1.3,58.1,0.7,0.506965
Greensville County,VA,59.2,2.0,37.7,0.9,0.506892
Plaquemines Parish,LA,20.2,6.2,66.8,2.5,0.506809
Morris County,TX,22.8,8.8,65.8,1.9,0.5068
Dorchester County,SC,26.0,4.7,65.0,2.5,0.506692
