County,State,"Black or African American alone, percent, 2013","Hispanic or Latino, percent, 2013","White alone, not Hispanic or Latino, percent, 2013","Two or More Races, percent, 2013",Diversity-Index,"Percent of Blacks, Latino & Two Races"
Jefferson County,TX,34.4,18.5,42.9,1.5,0.661628,54.4
Schleicher County,TX,1.8,50.9,46.6,1.7,0.523098,54.4
Wharton County,TX,14.4,39.0,46.2,0.9,0.613554,54.3
Peach County,GA,45.0,7.4,45.3,1.7,0.586408,54.1
Marengo County,AL,51.1,2.2,45.8,0.8,0.52855,54.1
Fulton County,GA,44.4,7.7,40.7,2.0,0.626907,54.1
Jasper County,MS,52.2,1.1,46.1,0.6,0.514829,53.900000000000006
Danville city,VA,49.3,3.1,45.3,1.4,0.550431,53.8
Richland County,SC,46.8,5.0,44.4,2.0,0.580247,53.8
Douglas County,GA,42.5,8.9,46.2,2.3,0.597172,53.699999999999996
Norfolk city,VA,42.8,7.3,44.3,3.4,0.61266,53.49999999999999
Manassas Park city,VA,15.0,34.7,39.4,3.7,0.690899,53.400000000000006
Ochiltree County,TX,0.9,51.2,46.4,1.2,0.522061,53.300000000000004
Newport News city,VA,41.2,8.2,45.4,3.9,0.614894,53.300000000000004
Barbour County,AL,47.6,4.8,46.3,0.9,0.556605,53.3
Mitchell County,GA,47.9,4.4,46.4,0.9,0.553171,53.199999999999996
Anson County,NC,48.5,3.4,45.5,1.3,0.556216,53.199999999999996
Claiborne Parish,LA,50.7,1.4,46.3,1.0,0.528236,53.1
Mitchell County,TX,12.8,38.7,48.2,1.6,0.601006,53.1
Orange County,FL,22.0,28.7,44.1,2.4,0.671218,53.1
Victoria County,TX,6.8,44.9,46.7,1.4,0.575256,53.099999999999994
Burke County,GA,48.5,3.0,47.0,1.4,0.542753,52.9
Clarendon County,SC,48.9,3.0,47.2,0.9,0.537069,52.8
Matagorda County,TX,11.4,40.0,46.2,1.3,0.612762,52.699999999999996
Sumter County,SC,47.1,3.7,46.5,1.8,0.560046,52.6
Titus County,TX,10.3,40.9,47.5,1.2,0.59568,52.400000000000006
Greene County,NC,36.5,14.8,47.8,1.1,0.615762,52.4
Cumberland County,NC,37.4,10.7,45.8,4.3,0.636081,52.39999999999999
Early County,GA,49.5,2.0,47.1,0.8,0.53262,52.3
Panola County,MS,49.6,1.6,47.7,1.0,0.526081,52.2
Caddo Parish,LA,48.0,2.7,46.7,1.4,0.550416,52.1
Manassas city,VA,15.6,32.9,44.7,3.6,0.662891,52.1
Iberville Parish,LA,48.7,2.4,48.0,0.8,0.531761,51.9
St. James Parish,LA,49.4,1.7,48.0,0.7,0.525213,51.800000000000004
Hardee County,FL,7.5,42.9,47.6,1.4,0.583248,51.8
Charles City County,VA,47.3,1.7,41.2,2.7,0.600308,51.7
